Player,Year,Pk,College,G,VORP,MP,Pk_redraft_vorp,Bust_steal
Pervis Ellison,1989,1,University of Louisville,474,7.4,11593,10,-37.9
Danny Ferry,1989,2,Duke University,917,5.0,18133,14,-33.9
Sean Elliott,1989,3,University of Arizona,742,16.1,24502,8,-18.5
Glen Rice,1989,4,University of Michigan,1000,22.1,34985,7,-6.6
J.R. Reid,1989,5,University of North Carolina,672,-0.2,15370,21,-27.5
Stacey King,1989,6,University of Oklahoma,438,-1.9,7406,29,-25.4
George McCloud,1989,7,Florida State University,766,5.6,17429,12,-16.5
Randy White,1989,8,Louisiana Tech University,281,-3.3,5382,33,-19.4
Tom Hammonds,1989,9,Georgia Institute of Technology,687,-6.0,10419,34,-16.6
Pooh Richardson,1989,10,University of California Los Angeles,639,5.5,19399,13,-1.9
Nick Anderson,1989,11,University of Illinois at Urbana-Champaign,800,23.5,24922,6,17.8
Mookie Blaylock,1989,12,University of Oklahoma,889,38.9,31026,2,33.3
Michael Smith,1989,13,Brigham Young University,141,-0.7,1328,22,-6.2
Tim Hardaway,1989,14,University of Texas at El Paso,867,34.6,30626,3,29.6
Todd Lichti,1989,15,Stanford University,237,-0.8,4240,24,-3.4
Dana Barros,1989,16,Boston College,850,10.6,19480,9,8.3
Shawn Kemp,1989,17,Trinity Valley Community College,1051,27.3,29293,5,25.4
B.J. Armstrong,1989,18,University of Iowa,747,1.9,17790,17,0.4
Kenny Payne,1989,19,University of Louisville,144,-1.3,1167,27,-2.2
Jeff Sanders,1989,20,Georgia Southern University,55,-0.4,462,35,-6.5
Blue Edwards,1989,21,East Carolina University,704,5.7,18409,11,5.9
Byron Irvin,1989,22,University of Missouri,87,0.2,849,36,-5.3
Roy Marble,1989,23,University of Iowa,29,-0.3,194,37,-5.3
Anthony Cook,1989,24,University of Arizona,116,-0.8,1499,25,0.0
John Morton,1989,25,Seton Hall University,128,-1.3,1879,28,-0.5
Vlade Divac,1989,26,,1134,45.3,33838,1,46.5
Kenny Battle,1989,27,University of Illinois at Urbana-Champaign,134,0.9,1795,19,2.2
Sherman Douglas,1989,28,Syracuse University,765,2.6,21148,15,3.9
Dyron Nix,1989,29,University of Tennessee,20,-0.2,109,38,-4.1
Frank Kornet,1989,30,Vanderbilt University,89,-0.6,595,39,-3.8
Jeff Martin,1989,31,Murray State University,143,-1.2,2685,26,1.8
Stanley Brundy,1989,32,DePaul University,16,0.0,128,40,-3.0
Jay Edwards,1989,33,Indiana University,4,0.0,26,41,-2.7
Gary Leonard,1989,34,University of Missouri,31,-0.2,149,42,0.0
Pat Durham,1989,35,Colorado State University,64,-0.2,930,43,0
Clifford Robinson,1989,36,University of Connecticut,1380,28.7,42561,4,34.7
Michael Ansley,1989,37,University of Alabama,149,0.5,2143,20,6.5
Doug West,1989,38,Villanova University,676,-2.2,16649,30,3.8
Ed Horton,1989,39,University of Iowa,45,-0.2,374,44,0
Dino Radja,1989,40,,224,2.3,7308,16,8.3
Doug Roth,1989,41,University of Tennessee,42,-0.2,412,45,0
Michael Cutright,1989,42,McNeese State University,,,,46,0
Chucky Brown,1989,43,North Carolina State University,694,-3.0,11962,31,3.0
Reggie Cross,1989,44,University of Hawaii,,,,47,0
Scott Haffner,1989,45,University of Evansville,50,-0.7,609,48,0
Ricky Blanton,1989,46,Louisiana State University,2,0.0,13,49,0
Reggie Turner,1989,47,University of Alabama at Birmingham,,,,50,0
Junie Lewis,1989,48,University of South Alabama,,,,51,0
Haywoode Workman,1989,49,Oral Roberts University,359,1.5,7202,18,7.5
Brian Quinnett,1989,50,Washington State University,138,-0.7,1530,23,5.3
Mike Morrison,1989,51,Loyola College in Maryland,36,-0.3,153,52,0
Greg Grant,1989,52,Trenton State University,274,-3.0,3350,32,3.0
Jeff Hodge,1989,53,University of South Alabama,,,,53,0
Toney Mack,1989,54,University of Georgia,,,,54,0
Derrick Coleman,1990,1,Syracuse University,781,21.7,25903,3,-41.3
Gary Payton,1990,2,Oregon State University,1335,63.0,47117,1,38.3
Mahmoud Abdul-Rauf,1990,3,Louisiana State University,586,-0.7,15628,24,-22.4
Dennis Scott,1990,4,Georgia Institute of Technology,629,7.3,17983,8,-9.6
Kendall Gill,1990,5,University of Illinois at Urbana-Champaign,966,16.9,29481,4,5.9
Felton Spencer,1990,6,University of Louisville,640,-1.9,12298,36,-12.7
Lionel Simmons,1990,7,La Salle University,454,7.2,13472,9,-1.6
Bo Kimble,1990,8,Loyola Marymount University,105,-1.1,1336,27,-8.4
Willie Burton,1990,9,University of Minnesota,316,-1.4,6666,33,-8.6
Rumeal Robinson,1990,10,University of Michigan,336,-0.3,6098,19,-6.3
Tyrone Hill,1990,11,Xavier University,801,5.7,22388,11,0.0
Alec Kessler,1990,12,University of Georgia,210,-3.2,2937,43,-8.7
Loy Vaught,1990,13,University of Michigan,689,1.8,16993,15,-1.0
Travis Mays,1990,14,University of Texas at Austin,115,-0.5,2964,21,-3.2
Dave Jamerson,1990,15,Ohio University,90,-0.5,594,46,-9.8
Terry Mills,1990,16,University of Michigan,678,5.5,16422,12,3.9
Jerrod Mustaf,1990,17,University of Maryland,179,-1.2,1902,31,-2.6
Duane Causwell,1990,18,Temple University,541,1.6,9409,16,1.5
Dee Brown,1990,19,Jacksonville University,608,11.0,16843,5,11.3
Gerald Glass,1990,20,University of Mississippi,201,-0.4,3347,20,0.0
Jayson Williams,1990,21,St. John's University,475,0.1,9805,18,0.6
Tate George,1990,22,University of Connecticut,177,-1.8,2019,35,-1.3
Anthony Bonner,1990,23,Saint Louis University,318,2.8,7372,13,3.4
Dwayne Schintzius,1990,24,University of Florida,217,-1.4,1950,34,-0.7
Alaa Abdelnaby,1990,25,Duke University,256,-2.3,3200,37,-1.6
Lance Blanks,1990,26,University of Texas at Austin,142,-0.5,1045,22,0.5
Elden Campbell,1990,27,Clemson University,1044,10.8,25776,6,11.9
Les Jepsen,1990,28,University of Iowa,52,-0.3,192,47,-6.9
Toni Kukoc,1990,29,,846,24.7,22212,2,25.8
Carl Herrera,1990,30,University of Houston,465,-2.6,8042,40,-1.5
Negele Knight,1990,31,University of Dayton,276,-3.0,4513,42,-1.8
Brian Oliver,1990,32,Georgia Institute of Technology,118,-1.3,1182,32,0.0
Walter Palmer,1990,33,Dartmouth College,48,-0.3,209,48,-6.6
Kevin Pritchard,1990,34,University of Kansas,94,-1.0,1125,26,0.4
Greg Foster,1990,35,University of Texas at El Paso,656,-6.3,7974,44,-4.5
Trevor Wilson,1990,36,University of California Los Angeles,103,-0.6,1609,23,1.3
A.J. English,1990,37,Virginia Union University,151,-2.4,3108,39,-0.1
Jud Buechler,1990,38,University of Arizona,720,2.7,8444,14,5.0
Steve Scheffler,1990,39,Purdue University,174,0.0,918,49,-5.6
Bimbo Coles,1990,40,Virginia Polytechnic Institute and State University,852,-0.7,20319,25,1.9
Steve Bardo,1990,41,University of Illinois at Urbana-Champaign,33,-0.2,299,50,-5.3
Marcus Liberty,1990,42,University of Illinois at Urbana-Champaign,267,-1.1,4568,28,1.9
Tony Massenburg,1990,43,University of Maryland,683,-8.0,12291,45,-4.8
Steve Henson,1990,44,Kansas State University,238,-1.1,2282,29,5.2
Antonio Davis,1990,45,University of Texas at El Paso,903,8.8,26084,7,16.8
Kenny Williams,1990,46,Elizabeth City State University,260,1.4,2918,17,9.4
Derek Strong,1990,47,Xavier University,456,-2.3,8548,38,5.7
Cedric Ceballos,1990,48,California State University Fullerton,609,6.0,14712,10,14.0
Phil Henderson,1990,49,Duke University,,,,51,0
Milos Babic,1990,50,Tennessee Technological University,21,-0.1,87,52,0
Tony Smith,1990,51,Marquette University,457,-1.1,7295,30,6.9
Stefano Rusconi,1990,52,,7,0.0,30,53,0
Abdul Shamsid-Deen,1990,53,Providence College,,,,54,0
Sean Higgins,1990,54,University of Michigan,220,-2.7,3334,41,5.3
Larry Johnson,1991,1,University of Nevada Las Vegas,707,28.3,25685,3,-9.9
Kenny Anderson,1991,2,Georgia Institute of Technology,858,18.0,25868,6,-10.6
Billy Owens,1991,3,Syracuse University,600,11.2,17619,8,-17.1
Dikembe Mutombo,1991,4,Georgetown University,1196,38.2,36791,1,13.8
Steve Smith,1991,5,Michigan State University,942,24.4,28855,4,0.7
Doug Smith,1991,6,University of Missouri,296,-1.5,5833,26,-19.5
Luc Longley,1991,7,University of New Mexico,567,1.5,12006,14,-16.1
Mark Macon,1991,8,Temple University,251,-1.5,5018,27,-12.7
Stacey Augmon,1991,9,University of Nevada Las Vegas,1001,9.8,21658,9,0.0
Bison Dele,1991,10,University of Arizona,413,4.4,10004,13,-5.0
Terrell Brandon,1991,11,University of Oregon,724,23.7,21545,5,15.1
Greg Anthony,1991,12,University of Nevada Las Vegas,757,8.1,15850,12,0.0
Dale Davis,1991,13,Clemson University,1094,28.6,29606,2,24.2
Rich King,1991,14,University of Nebraska,72,-0.3,309,35,-7.7
Anthony Avent,1991,15,Seton Hall University,352,-5.0,6729,33,-6.0
Chris Gatling,1991,16,Old Dominion University,700,-0.2,13760,17,-0.5
Victor Alexander,1991,17,Iowa State University,286,-0.9,5755,23,-0.7
Kevin Brooks,1991,18,University of Louisiana at Lafayette,126,-1.5,1031,28,-1.3
LaBradford Smith,1991,19,University of Louisville,183,-1.6,3131,29,-1.2
John Turner,1991,20,Phillips University,42,-0.5,345,36,-5.7
Eric Murdock,1991,21,Providence College,508,9.4,11882,10,10.0
LeRon Ellis,1991,22,Syracuse University,91,-0.3,857,37,-5.6
Stanley Roberts,1991,23,Louisiana State University,300,-1.9,5869,31,-1.0
Rick Fox,1991,24,University of North Carolina,930,17.6,23723,7,18.6
Shaun Vandiver,1991,25,University of Colorado,,,,38,-5.2
Mark Randall,1991,26,University of Kansas,127,-0.4,883,39,-4.7
Pete Chilcutt,1991,27,University of North Carolina,584,0.3,8394,16,1.8
Kevin Lynch,1991,28,University of Minnesota,95,-0.6,1143,21,0.9
George Ackles,1991,29,University of Nevada Las Vegas,,,,40,-4.6
Rodney Monroe,1991,30,North Carolina State University,38,-0.4,313,41,-4.4
Randy Brown,1991,31,New Mexico State University,655,-0.5,11533,20,1.4
Chad Gallagher,1991,32,Creighton University,2,0.0,3,42,-4.0
Donald Hodge,1991,33,Temple University,249,-1.8,3501,30,3.2
Myron Brown,1991,34,Slippery Rock University of Pennsylvania,4,0.0,23,43,0.0
Mike Iuzzolino,1991,35,Saint Francis University,122,-0.6,3049,22,5.6
Chris Corchiani,1991,36,North Carolina State University,112,-0.2,1313,18,6.0
Elliot Perry,1991,37,University of Memphis,549,-0.4,9501,19,5.8
Joe Wylie,1991,38,University of Miami,,,,44,0
Jimmy Oliver,1991,39,Purdue University,78,-0.8,856,45,0
Doug Overton,1991,40,La Salle University,499,-6.2,7275,34,0.0
Sean Green,1991,41,Iona College,84,-1.1,671,46,0
Steve Hood,1991,42,James Madison University,,,,47,0
Lamont Strothers,1991,43,Christopher Newport University,13,-0.2,155,48,0
Alvaro Teheran,1991,44,University of Houston,,,,49,0
Bobby Phills,1991,45,Southern University and A&amp;M College,467,8.6,13426,11,14.8
Richard Dumas,1991,46,Oklahoma State University,102,1.0,2226,15,7.2
Keith Hughes,1991,47,Rutgers University,,,,50,0
Isaac Austin,1991,48,Arizona State University,432,-1.0,8350,24,5.2
Greg Sutton,1991,49,Oral Roberts University,168,-1.0,1946,25,5.2
Joey Wright,1991,50,University of Texas at Austin,,,,51,0
Zan Tabak,1991,51,,247,-2.2,3607,32,4.0
Anthony Jones,1991,52,Oral Roberts University,,,,52,0
Von McDade,1991,53,University of Wisconsin-Milwaukee,,,,53,0
Marcus Kennedy,1991,54,Eastern Michigan University,,,,54,0
Shaquille O'Neal,1992,1,Louisiana State University,1207,74.0,41918,1,0.0
Alonzo Mourning,1992,2,Georgetown University,838,24.0,25975,5,-8.0
Christian Laettner,1992,3,Duke University,868,23.2,25760,6,-5.4
Jim Jackson,1992,4,Ohio State University,885,9.6,29067,13,-15.8
LaPhonso Ellis,1992,5,University of Notre Dame,624,7.1,17616,14,-16.9
Tom Gugliotta,1992,6,North Carolina State University,763,18.7,23556,8,-4.5
Walt Williams,1992,7,University of Maryland,708,12.4,18818,10,-9.3
Todd Day,1992,8,University of Arkansas,483,2.8,12214,18,-15.9
Clarence Weatherspoon,1992,9,University of Southern Mississippi,915,13.4,27736,9,0.0
Adam Keefe,1992,10,Stanford University,617,4.9,10334,17,-7.5
Robert Horry,1992,11,University of Alabama,1107,32.0,27069,2,21.1
Harold Miner,1992,12,University of Southern California,200,-2.0,3748,33,-11.8
Bryant Stith,1992,13,University of Virginia,586,5.8,16417,16,-3.8
Malik Sealy,1992,14,St. John's University,493,1.7,11720,20,-5.4
Anthony Peeler,1992,15,University of Missouri,827,6.1,20464,15,0.0
Randy Woods,1992,16,La Salle University,151,-0.4,1093,27,-6.2
Doug Christie,1992,17,Pepperdine University,827,25.4,26079,4,20.5
Tracy Murray,1992,18,University of California Los Angeles,659,1.4,12103,23,-1.4
Don MacLean,1992,19,University of California Los Angeles,319,-2.9,6679,36,-5.7
Hubert Davis,1992,20,University of North Carolina,685,0.7,15143,24,-1.0
Jon Barry,1992,21,Georgia Institute of Technology,821,9.8,13880,12,8.2
Oliver Miller,1992,22,University of Arkansas,493,10.9,11338,11,9.3
Lee Mayberry,1992,23,University of Arkansas,496,-6.6,10337,37,-8.0
Latrell Sprewell,1992,24,University of Alabama,913,21.7,35270,7,21.0
Elmore Spencer,1992,25,University of Nevada Las Vegas,157,-1.4,2641,32,-2.1
Dave Johnson,1992,26,Syracuse University,59,-0.9,475,38,-6.3
Byron Houston,1992,27,Oklahoma State University,214,-0.3,2674,26,0.1
Marlon Maxey,1992,28,University of Texas at El Paso,98,-0.5,1146,29,-0.1
P.J. Brown,1992,29,Louisiana Tech University,1089,28.6,33823,3,29.1
Sean Rooks,1992,30,University of Arizona,749,-2.7,13560,35,-1.9
Reggie Smith,1992,31,Texas Christian University,66,-0.3,384,39,-5.7
Brent Price,1992,32,University of Oklahoma,418,1.6,7007,21,3.0
Corey Williams,1992,33,Oklahoma State University,39,-0.3,288,40,-4.6
Chris Smith,1992,34,University of Connecticut,224,-2.5,3956,34,0.0
Tony Bennett,1992,35,University of Wisconsin-Green Bay,152,-0.9,1886,31,1.8
Duane Cooper,1992,36,University of Southern California,88,-1.3,781,41,-3.7
Isaiah Morris,1992,37,University of Arkansas,25,-0.2,102,42,0.0
Elmer Bennett,1992,38,University of Notre Dame,21,-0.2,159,43,0
Litterial Green,1992,39,University of Georgia,148,-0.8,1189,30,5.8
Steve Rogers,1992,40,Alabama State University,,,,44,0
Popeye Jones,1992,41,Murray State University,535,2.8,12579,19,9.4
Matt Geiger,1992,42,Georgia Institute of Technology,552,1.6,12221,22,8.2
Sasha Danilovic,1992,43,,75,0.7,2331,25,7.3
Henry Williams,1992,44,University of North Carolina at Charlotte,,,,45,0
Chris King,1992,45,Wake Forest University,103,-0.4,2058,28,6.2
Robert Werdann,1992,46,St. John's University,47,-0.3,273,46,0
Darren Morningstar,1992,47,University of Pittsburgh,23,-0.2,367,47,0
Brian Davis,1992,48,Duke University,68,-0.4,374,48,0
Ron Ellis,1992,49,Louisiana Tech University,,,,49,0
Matt Fish,1992,50,University of North Carolina at Wilmington,50,-0.1,512,50,0
Tim Burroughs,1992,51,Jacksonville University,,,,51,0
Matt Steigenga,1992,52,Michigan State University,2,0.0,12,52,0
Curtis Blair,1992,53,University of Richmond,,,,53,0
Brett Roberts,1992,54,Morehead State University,,,,54,0
Chris Webber,1993,1,University of Michigan,831,45.9,30847,1,0.0
Shawn Bradley,1993,2,Brigham Young University,832,12.3,19531,7,-14.9
Anfernee Hardaway,1993,3,University of Memphis,704,27.2,23711,2,1.8
Jamal Mashburn,1993,4,University of Kentucky,611,12.9,22762,6,-5.6
Isaiah Rider,1993,5,University of Nevada Las Vegas,563,3.6,17851,16,-10.2
Calbert Cheaney,1993,6,Indiana University,825,-0.7,22007,22,-13.6
Bobby Hurley,1993,7,Duke University,269,-5.8,4170,28,-18.1
Vin Baker,1993,8,University of Hartford,791,10.4,25737,10,-1.1
Rodney Rogers,1993,9,Wake Forest University,866,13.8,21873,5,2.4
Lindsey Hunter,1993,10,Jackson State University,937,9.5,23253,12,-0.9
Allan Houston,1993,11,University of Tennessee,839,9.9,28311,11,0.0
George Lynch,1993,12,University of North Carolina,774,11.5,17683,8,2.0
Terry Dehere,1993,13,Seton Hall University,402,-2.6,7305,26,-11.4
Scott Haskin,1993,14,Oregon State University,27,0.0,186,29,-14.5
Doug Edwards,1993,15,Florida State University,85,-0.6,838,30,-11.9
Rex Walters,1993,16,University of Kansas,335,-1.5,4602,24,-5.1
Greg Graham,1993,17,Indiana University,207,-1.6,2530,25,-4.1
Luther Wright,1993,18,Seton Hall University,15,-0.2,92,31,-8.2
Acie Earl,1993,19,University of Iowa,193,-3.1,2512,27,-5.1
Scott Burrell,1993,20,University of Connecticut,383,6.1,7592,15,5.6
James Robinson,1993,21,University of Alabama,381,-1.2,6935,23,-0.7
Chris Mills,1993,22,University of Arizona,568,8.8,17282,13,9.5
Ervin Johnson,1993,23,University of New Orleans,845,8.7,16989,14,9.9
Sam Cassell,1993,24,Florida State University,993,25.4,29812,3,26.9
Corie Blount,1993,25,University of Cincinnati,644,2.4,9925,18,4.0
Geert Hammink,1993,26,Louisiana State University,8,0.0,27,32,-3.2
Malcolm Mackey,1993,27,Georgia Institute of Technology,22,-0.2,69,33,-2.7
Lucious Harris,1993,28,California State University Long Beach,800,0.5,15701,20,6.3
Sherron Mills,1993,29,Virginia Commonwealth University,,,,34,0
Gheorghe Muresan,1993,30,,307,2.5,6729,17,8.3
Evers Burns,1993,31,University of Maryland,23,-0.1,143,35,0
Alphonso Ford,1993,32,Mississippi Valley State University,11,-0.2,114,36,0
Eric Riley,1993,33,University of Michigan,186,-0.5,1844,21,5.3
Darnell Mee,1993,34,Western Kentucky University,40,-0.1,293,37,0
Ed Stokes,1993,35,University of Arizona,4,0.0,17,38,0
John Best,1993,36,Tennessee Technological University,,,,39,0
Nick Van Exel,1993,37,University of Cincinnati,880,11.4,28969,9,17.2
Conrad McRae,1993,38,Syracuse University,,,,40,0
Thomas Hill,1993,39,Duke University,,,,41,0
Rich Manning,1993,40,University of Washington,55,-1.0,512,42,0
Anthony Reed,1993,41,Tulane University,,,,43,0
Adonis Jordan,1993,42,University of Kansas,10,-0.1,97,44,0
Josh Grant,1993,43,University of Utah,53,-0.1,382,45,0
Alex Holcombe,1993,44,Baylor University,,,,46,0
Bryon Russell,1993,45,California State University Long Beach,841,18.5,19805,4,24.3
Richard Petruska,1993,46,University of California Los Angeles,22,-0.2,92,47,0
Chris Whitney,1993,47,Clemson University,579,2.0,10052,19,7.8
Kevin Thompson,1993,48,North Carolina State University,14,-0.1,58,48,0
Mark Buford,1993,49,Mississippi Valley State University,,,,49,0
Marcelo Nicola,1993,50,,,,,50,0
Spencer Dunkley,1993,51,University of Delaware,,,,51,0
Mike Peplowski,1993,52,Michigan State University,68,-0.2,705,52,0
Leonard White,1993,53,Southern University and A&amp;M College,,,,53,0
Byron Wilson,1993,54,University of Utah,,,,54,0
Glenn Robinson,1994,1,Purdue University,688,10.3,25346,10,-67.9
Jason Kidd,1994,2,University of California,1391,78.2,50111,1,33.1
Grant Hill,1994,3,Duke University,1026,42.5,34776,3,0.0
Donyell Marshall,1994,4,University of Connecticut,957,19.1,25027,4,0.0
Juwan Howard,1994,5,University of Michigan,1208,10.1,36654,11,-3.7
Sharone Wright,1994,6,Clemson University,203,-4.1,4531,39,-17.4
Lamond Murray,1994,7,University of California,736,1.4,18477,16,-11.5
Brian Grant,1994,8,Xavier University,756,10.4,21417,9,-1.5
Eric Montross,1994,9,University of North Carolina,465,-3.0,8479,38,-13.4
Eddie Jones,1994,10,Temple University,954,45.1,32778,2,34.8
Carlos Rogers,1994,11,Tennessee State University,298,0.2,5654,20,-9.9
Khalid Reeves,1994,12,University of Arizona,277,0.6,5837,17,-8.1
Jalen Rose,1994,13,University of Michigan,923,11.9,27925,8,5.2
Yinka Dare,1994,14,George Washington University,110,-2.0,1002,36,-7.5
Eric Piatkowski,1994,15,University of Nebraska,789,5.5,14613,14,2.7
Clifford Rozier,1994,16,University of Louisville,173,-0.1,2984,23,-1.5
Aaron McKie,1994,17,Temple University,793,12.9,19156,7,12.3
Eric Mobley,1994,18,University of Pittsburgh,113,-0.8,1570,32,-1.3
Tony Dumas,1994,19,University of Missouri-Kansas City,156,-1.6,2222,34,-1.9
B.J. Tyler,1994,20,University of Texas at Austin,55,-1.1,809,40,-4.3
Dickey Simpkins,1994,21,Providence College,327,-2.3,5201,37,-2.5
Bill Curley,1994,22,Boston College,147,-0.6,1614,31,-0.7
Wesley Person,1994,23,Auburn University,733,13.8,20727,5,13.9
Monty Williams,1994,24,University of Notre Dame,456,0.5,7624,18,0.6
Greg Minor,1994,25,University of Louisville,277,-0.3,5144,27,-0.1
Charlie Ward,1994,26,Florida State University,630,13.3,14080,6,13.5
Brooks Thompson,1994,27,Oklahoma State University,168,0.1,1714,22,0.4
Deon Thomas,1994,28,University of Illinois at Urbana-Champaign,,,,41,-3.8
Antonio Lang,1994,29,Duke University,143,-0.3,1395,28,0.1
Howard Eisley,1994,30,Boston College,786,-1.0,16013,33,-0.5
Rodney Dent,1994,31,University of Kentucky,,,,42,-3.5
Jim McIlvaine,1994,32,Marquette University,401,2.8,5927,15,3.6
Derrick Alston,1994,33,Duquesne University,139,-0.1,2657,24,0.9
Gaylon Nickerson,1994,34,Northwestern Oklahoma State University,4,-0.1,42,43,-2.5
Michael Smith,1994,35,Providence College,449,8.7,10552,12,10.3
Andrei Fetisov,1994,36,,,,,44,-2.1
Dontonio Wingfield,1994,37,University of Cincinnati,114,0.2,1146,21,2.5
Darrin Hancock,1994,38,University of Kansas,133,-0.5,1395,30,2.5
Anthony Miller,1994,39,Michigan State University,181,-0.2,1637,25,3.9
Jeff Webster,1994,40,University of Oklahoma,11,-0.1,58,45,0
William Njoku,1994,41,,,,,46,0
Gary Collier,1994,42,University of Tulsa,,,,47,0
Shawnelle Scott,1994,43,St. John's University,105,-0.2,634,48,0
Damon Bailey,1994,44,Indiana University,,,,49,0
Dwayne Morton,1994,45,University of Louisville,41,-0.3,395,50,0
Voshon Lenard,1994,46,University of Minnesota,565,6.7,15349,13,10.8
Jamie Watson,1994,47,University of South Carolina,102,0.3,1248,19,4.4
Jevon Crudup,1994,48,University of Missouri,,,,51,0
Kris Bruton,1994,49,Benedict College,,,,52,0
Charles Claxton,1994,50,University of Georgia,3,0.0,7,53,0
Lawrence Funderburke,1994,51,Ohio State University,318,-0.2,4726,26,3.9
Anthony Goldwire,1994,52,University of Houston,266,-1.6,4951,35,2.5
Albert Burditt,1994,53,University of Texas at Austin,,,,54,0
Zeljko Rebraca,1994,54,,215,-0.4,3280,29,3.7
Joe Smith,1995,1,University of Maryland,1030,5.9,27022,13,-88.1
Antonio McDyess,1995,2,University of Alabama,1015,16.4,28053,5,-21.1
Jerry Stackhouse,1995,3,University of North Carolina,970,12.8,30222,9,-16.4
Rasheed Wallace,1995,4,University of North Carolina,1109,37.5,36243,2,10.3
Kevin Garnett,1995,5,,1462,94.0,50418,1,77.6
Bryant Reeves,1995,6,Oklahoma State University,395,-1.8,12071,30,-17.2
Damon Stoudamire,1995,7,University of Arizona,878,15.4,29106,6,0.3
Shawn Respert,1995,8,Michigan State University,172,-0.9,2350,25,-14.1
Ed O'Bannon,1995,9,University of California Los Angeles,128,-1.0,2062,27,-13.8
Kurt Thomas,1995,10,Texas Christian University,1110,13.2,27160,8,3.2
Gary Trent,1995,11,Ohio University,506,1.7,9866,18,-7.5
Cherokee Parks,1995,12,Duke University,472,-0.1,7459,21,-7.0
Corliss Williamson,1995,13,University of Arkansas,822,-1.9,18749,32,-7.8
Eric Williams,1995,14,Providence College,658,-1.8,15731,31,-6.1
Brent Barry,1995,15,Oregon State University,912,27.2,23643,4,23.2
Alan Henderson,1995,16,Indiana University,652,1.1,13780,19,-1.3
Bob Sura,1995,17,Florida State University,657,9.2,15597,11,6.8
Theo Ratliff,1995,18,University of Wyoming,810,15.1,20500,7,13.4
Randolph Childress,1995,19,Wake Forest University,51,-0.4,405,36,-3.5
Jason Caffey,1995,20,University of Alabama,462,-1.6,9045,29,-1.9
Michael Finley,1995,21,University of Wisconsin,1103,29.2,37996,3,29.3
George Zidek,1995,22,University of California Los Angeles,135,-1.9,1328,33,-1.7
Travis Best,1995,23,Georgia Institute of Technology,708,4.0,15150,15,4.7
Loren Meyer,1995,24,Iowa State University,140,-2.2,2044,34,-1.4
David Vaughn,1995,25,University of Memphis,118,-1.0,1156,28,-0.1
Sherell Ford,1995,26,University of Illinois at Chicago,28,-0.1,139,37,-1.5
Mario Bennett,1995,27,Arizona State University,68,0.3,606,38,-1.4
Greg Ostertag,1995,28,University of Kansas,756,10.0,14753,10,11.0
Cory Alexander,1995,29,University of Virginia,307,-0.2,4847,22,1.4
Lou Roe,1995,30,University of Massachusetts Amherst,66,-0.5,479,39,-0.6
Dragan Tarlac,1995,31,,43,-0.7,598,40,-0.6
Terrence Rencher,1995,32,University of Texas at Austin,36,-0.4,405,41,-0.5
Junior Burrough,1995,33,University of Virginia,61,-0.7,495,42,-0.5
Andrew DeClercq,1995,34,University of Florida,587,2.4,9847,16,4.6
Jimmy King,1995,35,University of Michigan,64,-0.8,890,43,0.0
