Player,Year,Pk,College,G,VORP,MP,Pk_redraft_vorp,Bust_steal
Lawrence Moten,1995,36,Syracuse University,119,-0.8,1814,24,1.6
Frankie King,1995,37,Western Carolina University,13,0.0,79,44,0
Rashard Griffith,1995,38,University of Wisconsin,,,,45,0
Donny Marshall,1995,39,University of Connecticut,119,-0.6,919,46,0
Dwayne Whitfield,1995,40,Jackson State University,8,-0.2,122,47,0
Erik Meek,1995,41,Duke University,,,,48,0
Donnie Boyce,1995,42,University of Colorado,30,-0.2,195,49,0
Eric Snow,1995,43,Michigan State University,846,4.3,23132,14,6.7
Anthony Pelle,1995,44,California State University Fresno,,,,50,0
Troy Brown,1995,45,Providence College,,,,51,0
George Banks,1995,46,University of Texas at El Paso,,,,52,0
Tyus Edney,1995,47,University of California Los Angeles,226,-0.9,4743,26,1.5
Mark Davis,1995,48,Texas Tech University,230,0.3,3681,20,2.7
Jerome Allen,1995,49,University of Pennsylvania,117,-0.7,1305,23,1.7
Martin Lewis,1995,50,Seward County Community College,25,-0.2,239,53,0
Dejan Bodiroga,1995,51,,,,,54,0
Fred Hoiberg,1995,52,Iowa State University,541,6.9,9978,12,9.3
Constantin Popa,1995,53,University of Miami,,,,55,0
Aurelijius Zukauskas,1995,54,,,,,56,0
Michael McDonald,1995,55,University of New Orleans,1,0.0,4,57,0
Chris Carr,1995,56,Southern Illinois University,297,-2.4,4505,35,0.0
Cuonzo Martin,1995,57,Purdue University,7,-0.1,32,58,0
Don Reid,1995,58,Georgetown University,403,2.4,5374,17,4.8
Allen Iverson,1996,1,Georgetown University,914,44.1,37584,3,-28.0
Marcus Camby,1996,2,University of Massachusetts Amherst,973,35.6,28684,4,-22.5
Shareef Abdur-Rahim,1996,3,University of California,830,21.1,28882,9,-23.0
Stephon Marbury,1996,4,Georgia Institute of Technology,846,25.6,31891,6,-10.0
Ray Allen,1996,5,University of Connecticut,1300,58.1,46344,2,26.9
Antoine Walker,1996,6,University of Kentucky,893,21.9,31531,8,-3.7
Lorenzen Wright,1996,7,University of Memphis,778,0.0,18535,22,-23.9
Kerry Kittles,1996,8,Villanova University,507,16.9,16929,10,-5.0
Samaki Walker,1996,9,University of Louisville,445,-1.8,7612,30,-22.9
Erick Dampier,1996,10,Mississippi State University,987,13.1,24003,12,-3.8
Todd Fuller,1996,11,North Carolina State University,225,-3.2,2500,32,-17.1
Vitaly Potapenko,1996,12,Wright State University,610,-4.4,11608,35,-17.5
Kobe Bryant,1996,13,,1346,72.1,48637,1,59.1
Peja Stojakovic,1996,14,,804,23.9,26966,7,14.6
Steve Nash,1996,15,Santa Clara University,1217,31.2,38069,5,22.2
Tony Delk,1996,16,University of Kentucky,545,2.1,11702,17,-2.8
Jermaine O'Neal,1996,17,,1011,13.9,27364,11,11.8
John Wallace,1996,18,Syracuse University,381,-3.8,6143,33,-5.7
Walter McCarty,1996,19,University of Kentucky,593,1.7,10374,19,0.0
Zydrunas Ilgauskas,1996,20,,843,13.0,22965,13,12.2
Dontae' Jones,1996,21,Mississippi State University,15,-0.2,91,36,-4.8
Roy Rogers,1996,22,University of Alabama,137,-0.7,2309,27,-0.7
Efthimi Rentzias,1996,23,,35,-0.1,144,37,-4.3
Derek Fisher,1996,24,University of Arkansas at Little Rock,1287,9.3,32719,14,9.4
Martin Muursepp,1996,25,,83,0.2,951,38,-3.9
Jerome Williams,1996,26,Georgetown University,587,9.0,12755,15,9.6
Brian Evans,1996,27,Indiana University,102,-0.1,1097,23,0.6
Priest Lauderdale,1996,28,Central State University,74,-0.8,525,39,-3.6
Travis Knight,1996,29,University of Connecticut,371,0.8,4566,20,2.0
Othella Harrington,1996,30,Georgetown University,709,-4.0,13924,34,-2.2
Mark Hendrickson,1996,31,Washington State University,114,-0.8,1508,28,1.7
Ryan Minor,1996,32,University of Oklahoma,,,,40,-1.2
Moochie Norris,1996,33,University of West Florida,445,-0.1,7640,24,3.7
Shawn Harvey,1996,34,West Virginia State University,,,,41,-0.4
Joseph Blair,1996,35,University of Arizona,,,,42,0.0
Doron Sheffer,1996,36,University of Connecticut,,,,43,0
Jeff McInnis,1996,37,University of North Carolina,576,-2.5,15927,31,1.9
Steve Hamer,1996,38,University of Tennessee,35,-0.4,268,44,0
Russ Millard,1996,39,University of Iowa,,,,45,0
Marcus Mann,1996,40,Mississippi Valley State University,,,,46,0
Jason Sasser,1996,41,Texas Tech University,14,-0.1,108,47,0
Randy Livingston,1996,42,Louisiana State University,203,-1.2,2684,29,3.2
Ben Davis,1996,43,University of Arizona,40,-0.2,154,48,0
Malik Rose,1996,44,Drexel University,813,1.9,13404,18,6.3
Joe Vogel,1996,45,Colorado State University,,,,49,0
Marcus Brown,1996,46,Murray State University,27,-0.1,229,50,0
Ron Riley,1996,47,Arizona State University,,,,51,0
Jamie Feick,1996,48,Michigan State University,201,0.4,4316,21,4.8
Amal McCaskill,1996,49,Marquette University,114,-0.6,968,52,0
Terrell Bell,1996,50,University of Georgia,,,,53,0
Chris Robinson,1996,51,Western Kentucky University,76,-0.6,1095,26,3.8
Mark Pope,1996,52,University of Kentucky,153,-0.5,1634,25,3.9
Jeff Nordgaard,1996,53,University of Wisconsin-Green Bay,13,-0.1,48,54,0
Shandon Anderson,1996,54,University of Georgia,719,4.9,15946,16,9.3
Ronnie Henderson,1996,55,Louisiana State University,,,,55,0
Reggie Geary,1996,56,University of Arizona,101,-0.3,931,56,0
Drew Barry,1996,57,Georgia Institute of Technology,60,-0.4,598,57,0
Darnell Robinson,1996,58,University of Arkansas,,,,58,0
Tim Duncan,1997,1,Wake Forest University,1392,89.3,47368,1,0.0
Keith Van Horn,1997,2,University of Utah,575,8.4,18150,7,-42.2
Chauncey Billups,1997,3,University of Colorado,1043,37.6,33008,3,0.0
Antonio Daniels,1997,4,Bowling Green State University,872,4.1,19671,14,-9.5
Tony Battie,1997,5,Texas Tech University,837,1.9,17649,17,-11.4
Ron Mercer,1997,6,University of Kentucky,432,-4.3,13418,31,-13.4
Tim Thomas,1997,7,Villanova University,824,5.4,21336,10,-3.0
Adonal Foyle,1997,8,Colgate University,733,3.9,13060,15,-3.9
Tracy McGrady,1997,9,,938,50.6,30658,2,45.1
Danny Fortson,1997,10,University of Cincinnati,440,-2.1,8832,28,-7.5
Tariq Abdul-Wahad,1997,11,San Jose State University,236,-1.5,4807,27,-6.1
Austin Croshere,1997,12,Providence College,659,4.3,11480,12,0.0
Derek Anderson,1997,13,University of Kentucky,615,13.3,17975,5,9.0
Maurice Taylor,1997,14,University of Michigan,534,-5.9,13324,32,-10.0
Kelvin Cato,1997,15,Iowa State University,541,4.6,10617,11,0.7
Brevin Knight,1997,16,Stanford University,729,4.3,18176,13,0.7
Johnny Taylor,1997,17,University of Tennessee at Chattanooga,54,-0.3,866,34,-9.0
Chris Anstey,1997,18,,155,-0.4,2157,19,-0.6
Scot Pollard,1997,19,University of Kansas,506,5.5,8372,9,5.9
Paul Grant,1997,20,University of Wisconsin,16,-0.2,111,35,-6.7
Anthony Parker,1997,21,Bradley University,494,9.1,13752,6,9.8
Ed Gray,1997,22,University of California,60,-0.9,809,36,-6.4
Bobby Jackson,1997,23,University of Minnesota,755,7.8,16790,8,8.7
Rodrick Rhodes,1997,24,University of Southern California,72,-1.4,1234,25,-0.4
John Thomas,1997,25,University of Minnesota,208,-0.7,2253,21,0.7
Charles Smith,1997,26,University of New Mexico,142,0.2,1973,18,1.6
Jacque Vaughn,1997,27,University of Kansas,776,-7.1,12658,33,-5.6
Keith Booth,1997,28,University of Maryland,45,-0.5,449,37,-5.0
Serge Zwikker,1997,29,University of North Carolina,,,,38,-4.0
Mark Sanford,1997,30,University of Washington,,,,39,-4.0
Charles O'Bannon,1997,31,University of California Los Angeles,48,-0.1,399,40,-2.8
James Cotton,1997,32,California State University Long Beach,19,-0.3,92,41,-1.2
Marko Milic,1997,33,,44,0.0,216,42,0.0
Bubba Wells,1997,34,Austin Peay State University,39,-0.3,395,43,0
Kebu Stewart,1997,35,California State University Bakersfield,15,-0.1,110,44,0
James Collins,1997,36,Florida State University,23,-0.1,103,45,0
Marc Jackson,1997,37,Temple University,387,-3.1,7572,29,4.0
Jerald Honeycutt,1997,38,Tulane University,54,-0.3,632,46,0
Anthony Johnson,1997,39,College of Charleston,793,-0.4,15552,20,6.7
Eddie Elisma,1997,40,Georgia Institute of Technology,,,,47,0
Jason Lawson,1997,41,Villanova University,17,0.1,80,48,0
Stephen Jackson,1997,42,Butler County Community College,858,13.6,27398,4,20.7
Gordon Malone,1997,43,West Virginia University,,,,49,0
Cedric Henderson,1997,44,University of Memphis,260,-0.7,6182,22,6.4
God Shammgod,1997,45,Providence College,20,-0.3,146,50,0
Eric Washington,1997,46,University of Alabama,104,-1.0,2300,24,6.1
Alvin Williams,1997,47,Villanova University,460,3.6,12610,16,10.7
Predrag Drobnjak,1997,48,,278,-3.1,5542,30,4.0
Alain Digbeu,1997,49,,,,,51,0
Chris Crawford,1997,50,Marquette University,252,-0.9,3985,23,6.2
DeJuan Wheat,1997,51,University of Louisville,80,-0.4,740,52,0
C.J. Bruton,1997,52,Indian Hills Community College,,,,53,0
Paul Rogers,1997,53,Gonzaga University,,,,54,0
Mark Blount,1997,54,University of Pittsburgh,605,-1.4,13981,26,5.7
Ben Pepper,1997,55,,,,,55,0
Nate Erdmann,1997,56,University of Oklahoma,,,,56,0
Roberto Duenas,1997,57,,,,,57,0
Michael Olowokandi,1998,1,University of the Pacific,500,-8.3,13129,40,-74.0
Mike Bibby,1998,2,University of Arizona,1001,21.2,33962,5,-40.5
Raef LaFrentz,1998,3,University of Kansas,563,12.8,14545,8,-40.4
Antawn Jamison,1998,4,University of North Carolina,1083,17.4,37638,6,-16.7
Vince Carter,1998,5,University of North Carolina,1274,53.2,41336,3,32.0
Robert Traylor,1998,6,University of Michigan,438,3.6,6243,20,-13.8
Jason Williams,1998,7,University of Florida,788,7.8,23188,15,-7.5
Larry Hughes,1998,8,Saint Louis University,727,9.7,22368,12,-3.1
Dirk Nowitzki,1998,9,,1340,65.7,47249,1,53.9
Paul Pierce,1998,10,University of Kansas,1318,61.7,45603,2,50.7
Bonzi Wells,1998,11,Ball State University,591,9.3,15133,13,-1.6
Michael Doleac,1998,12,University of Utah,587,-3.8,8789,39,-13.5
Keon Clark,1998,13,University of Nevada Las Vegas,353,3.8,7971,19,-5.5
Michael Dickerson,1998,14,University of Arizona,212,1.6,7490,22,-6.6
Matt Harpring,1998,15,Georgia Institute of Technology,665,8.2,17584,14,0.4
Bryce Drew,1998,16,Valparaiso University,243,-2.6,3970,37,-9.1
Rasho Nesterovic,1998,17,,811,11.0,17983,10,5.2
Mirsad Turkcan,1998,18,,17,-0.1,90,41,-13.8
Pat Garrity,1998,19,University of Notre Dame,552,0.7,11062,23,-3.1
Roshown McLeod,1998,20,Duke University,113,-1.6,2130,31,-5.2
Ricky Davis,1998,21,University of Iowa,736,6.5,21927,16,3.2
Brian Skinner,1998,22,Baylor University,608,-1.0,10910,28,-2.6
Tyronn Lue,1998,23,University of Nebraska,554,-2.5,12564,36,-3.2
Felipe Lopez,1998,24,St. John's University,249,-0.7,4145,27,-0.7
Al Harrington,1998,25,,981,5.5,28009,18,5.9
Sam Jacobson,1998,26,University of Minnesota,68,-0.3,752,42,-7.9
Vladimir Stepania,1998,27,,270,-1.8,3726,33,-1.1
Corey Benjamin,1998,28,Oregon State University,153,-2.0,2191,34,-1.0
Nazr Mohammed,1998,29,University of Kentucky,1005,-2.0,15891,35,-0.9
Ansu Sesay,1998,30,University of Mississippi,127,-0.4,1301,25,0.9
Ruben Patterson,1998,31,University of Cincinnati,649,11.8,15955,9,13.4
Rashard Lewis,1998,32,,1049,34.1,33541,4,35.8
Jelani McCoy,1998,33,University of California Los Angeles,260,-1.1,3824,29,0.7
Shammond Williams,1998,34,University of North Carolina,325,-0.4,5351,26,1.6
Bruno Sundov,1998,35,,102,-1.0,524,43,-6.3
Jerome James,1998,36,Florida Agricultural and Mechanical University,358,-1.3,4771,30,1.2
Casey Shaw,1998,37,University of Toledo,9,-0.1,14,44,-5.7
DeMarco Johnson,1998,38,University of North Carolina at Charlotte,5,-0.1,37,45,-5.6
Rafer Alston,1998,39,California State University Fresno,671,10.9,19392,11,14.7
Korleone Young,1998,40,,3,0.0,15,46,0.0
Cuttino Mobley,1998,41,University of Rhode Island,747,15.3,27618,7,23.6
Miles Simon,1998,42,University of Arizona,5,-0.1,19,47,0
Jahidi White,1998,43,Georgetown University,334,-2.7,5913,38,5.6
Sean Marks,1998,44,University of California,230,-1.7,2275,32,6.6
Toby Bailey,1998,45,University of California Los Angeles,73,-0.3,698,48,0
Andrae Patterson,1998,46,Indiana University,40,0.1,304,49,0
Tyson Wheeler,1998,47,University of Rhode Island,1,0.0,3,50,0
Ryan Stack,1998,48,University of South Carolina,43,-0.3,397,51,0
Cory Carr,1998,49,Texas Tech University,42,-1.1,624,52,0
Andrew Betts,1998,50,California State University Long Beach,,,,53,0
Corey Brewer,1998,51,University of Oklahoma,,,,54,0
Derrick Dial,1998,52,Eastern Michigan University,82,-0.3,687,55,0
Greg Buckner,1998,53,Clemson University,570,5.8,10895,17,14.1
Tremaine Fowlkes,1998,54,California State University Fresno,103,0.0,1233,24,8.3
Ryan Bowen,1998,55,University of Iowa,507,3.3,6502,21,11.6
J.R. Henderson,1998,56,University of California Los Angeles,30,-0.3,331,56,0
Torraye Braggs,1998,57,Xavier University,22,-0.1,178,57,0
Maceo Baston,1998,58,University of Michigan,105,0.1,831,58,0
Elton Brand,1999,1,Duke University,1058,45.2,34910,3,-6.9
Steve Francis,1999,2,University of Maryland,576,28.2,21632,10,-17.3
Baron Davis,1999,3,University of California Los Angeles,835,34.1,28592,6,-11.1
Lamar Odom,1999,4,University of Rhode Island,961,36.3,32131,5,-6.1
Jonathan Bender,1999,5,,262,-1.5,3847,33,-37.8
Wally Szczerbiak,1999,6,Miami University,651,12.8,20052,13,-21.3
Richard Hamilton,1999,7,University of Connecticut,921,10.5,29559,14,-23.3
Andre Miller,1999,8,University of Utah,1304,31.7,40268,8,0.0
Shawn Marion,1999,9,University of Nevada Las Vegas,1163,52.1,40097,1,22.1
Jason Terry,1999,10,University of Arizona,1285,33.8,39855,7,5.6
Trajan Langdon,1999,11,Duke University,119,0.1,1738,25,-18.7
Aleksandar Radojevic,1999,12,Barton County Community College,15,-0.3,152,39,-15.8
Corey Maggette,1999,13,Duke University,827,9.5,23358,15,-3.3
William Avery,1999,14,Duke University,142,-1.6,1205,36,-12.1
Frederic Weis,1999,15,,,,,40,-12.3
Metta World Peace,1999,16,St. John's University,966,30.0,31280,9,23.4
Cal Bowdler,1999,17,Old Dominion University,142,-0.9,1383,29,-3.6
James Posey,1999,18,Xavier University,864,18.8,23260,11,16.3
Quincy Lewis,1999,19,University of Minnesota,159,-0.9,1853,30,-3.3
Dion Glover,1999,20,Georgia Institute of Technology,294,-0.7,6132,27,-2.6
Jeff Foster,1999,21,Texas State University,764,13.0,15750,12,11.8
Kenny Thomas,1999,22,University of New Mexico,632,6.6,17306,16,5.8
Devean George,1999,23,Augsburg College,630,2.5,11682,18,1.7
Andrei Kirilenko,1999,24,,797,42.4,23916,4,41.9
Tim James,1999,25,University of Miami,43,-0.3,261,41,-2.9
Vonteego Cummings,1999,26,University of Pittsburgh,199,-0.9,3789,31,-0.4
Jumaine Jones,1999,27,University of Georgia,471,2.4,9780,19,3.1
Scott Padgett,1999,28,University of Kentucky,448,2.7,5613,17,3.4
Leon Smith,1999,29,,15,-0.1,104,42,-1.9
John Celestand,1999,30,Villanova University,16,-0.3,185,43,-1.9
Rico Hill,1999,31,Illinois State University,,,,44,-1.9
Michael Ruffin,1999,32,University of Tulsa,414,1.2,5966,21,2.1
Chris Herren,1999,33,California State University Fresno,70,-0.9,1005,32,0.6
Evan Eschmeyer,1999,34,Northwestern University,153,0.5,2138,24,2.0
Calvin Booth,1999,35,Pennsylvania State University,366,0.8,4477,22,2.3
Wang Zhizhi,1999,36,,137,-0.7,1256,28,0.9
Obinna Ekezie,1999,37,University of Maryland,143,-1.5,1516,34,1.0
Laron Profit,1999,38,University of Maryland,135,-0.5,1537,26,2.3
A.J. Bramlett,1999,39,University of Arizona,8,-0.2,61,45,0
Gordan Giricek,1999,40,,384,-2.5,8824,37,0.3
Francisco Elson,1999,41,University of California,472,0.8,7207,23,3.6
Louis Bullock,1999,42,University of Michigan,,,,46,0
Lee Nailon,1999,43,Texas Christian University,306,-1.5,5820,35,1.3
Tyrone Washington,1999,44,Mississippi State University,,,,47,0
Ryan Robertson,1999,45,University of Kansas,1,0.0,25,48,0
J.R. Koch,1999,46,University of Iowa,,,,49,0
Todd MacCulloch,1999,47,University of Washington,223,1.9,3439,20,4.7
Galen Young,1999,48,University of North Carolina at Charlotte,,,,50,0
Lari Ketner,1999,49,University of Massachusetts Amherst,25,-0.3,139,51,0
Venson Hamilton,1999,50,University of Nebraska,,,,52,0
Antwain Smith,1999,51,Saint Paul's College,,,,53,0
Roberto Bergersen,1999,52,Boise State University,,,,54,0
Rodney Buford,1999,53,Creighton University,230,-2.8,4182,38,0.0
Melvin Levett,1999,54,University of Cincinnati,,,,55,0
Kris Clack,1999,55,University of Texas at Austin,,,,56,0
Tim Young,1999,56,Stanford University,25,-0.2,137,57,0
Manu Ginobili,1999,57,,923,45.5,24269,2,48.3
Eddie Lucas,1999,58,Virginia Polytechnic Institute and State University,,,,58,0
Kenyon Martin,2000,1,University of Cincinnati,757,15.5,23134,3,-5.9
Stromile Swift,2000,2,Louisiana State University,547,0.2,10804,17,-20.2
Darius Miles,2000,3,,446,2.3,11730,13,-13.2
Marcus Fizer,2000,4,Iowa State University,289,-4.1,6032,36,-19.0
Mike Miller,2000,5,University of Florida,1012,20.4,27661,2,8.9
DerMarr Johnson,2000,6,University of Cincinnati,344,0.6,5930,15,-9.1
Chris Mihm,2000,7,University of Texas at Austin,436,-4.1,8758,37,-13.0
Jamal Crawford,2000,8,University of Michigan,1100,11.5,33967,5,5.1
Joel Przybilla,2000,9,University of Minnesota,592,3.3,11733,11,-1.2
Keyon Dooling,2000,10,University of Missouri,728,-3.6,14134,35,-7.9
Jerome Moiso,2000,11,University of California Los Angeles,145,-0.6,1392,21,-3.9
Etan Thomas,2000,12,Syracuse University,409,-1.0,7084,25,-3.8
Courtney Alexander,2000,13,California State University Fresno,187,-2.1,4067,31,-4.4
Mateen Cleaves,2000,14,Michigan State University,167,-2.0,1863,30,-3.6
Jason Collier,2000,15,Georgia Institute of Technology,151,-2.3,2178,32,-2.9
Hedo Turkoglu,2000,16,,997,21.4,26695,1,21.1
Desmond Mason,2000,17,Oklahoma State University,643,-1.9,19641,29,-2.1
Quentin Richardson,2000,18,DePaul University,783,8.9,20785,7,9.1
Jamaal Magloire,2000,19,University of Kentucky,680,-3.3,14621,34,-3.0
Speedy Claxton,2000,20,Hofstra University,334,2.8,8548,12,3.3
Morris Peterson,2000,21,Michigan State University,711,9.7,19366,6,10.3
Donnell Harvey,2000,22,University of Florida,205,-0.6,3318,22,0.0
DeShawn Stevenson,2000,23,,824,-4.6,18396,38,-3.8
Dalibor Bagaric,2000,24,,95,-1.2,973,39,-3.8
Jake Tsakalidis,2000,25,,315,-1.3,5005,27,-0.3
Mamadou N'Diaye,2000,26,Auburn University,69,-0.7,858,40,-3.5
Primoz Brezec,2000,27,,342,-0.8,6192,23,0.5
Erick Barkley,2000,28,St. John's University,27,-0.1,266,41,-3.1
Mark Madsen,2000,29,Stanford University,453,-0.2,5335,18,1.7
Marko Jaric,2000,30,,447,4.3,11246,10,6.3
Dan Langhi,2000,31,Vanderbilt University,133,-1.5,1253,28,0.6
A.J. Guyton,2000,32,Indiana University,80,-1.1,1246,26,1.2
Jake Voskuhl,2000,33,University of Connecticut,450,-0.3,6443,19,2.0
Khalid El-Amin,2000,34,University of Connecticut,50,-0.4,936,42,-1.3
Mike Smith,2000,35,University of Louisiana at Monroe,17,-0.2,180,43,-1.0
Soumaila Samake,2000,36,,47,-0.3,303,44,-0.5
Eddie House,2000,37,Arizona State University,717,1.6,12405,14,5.7
Eduardo Najera,2000,38,University of Oklahoma,619,6.4,11213,8,11.0
Lavor Postell,2000,39,St. John's University,61,-0.7,446,45,0
Hanno Mottola,2000,40,University of Utah,155,-2.3,2360,33,2.3
Chris Carrawell,2000,41,Duke University,,,,46,0
Olumide Oyedeji,2000,42,,93,-0.4,587,47,0
Michael Redd,2000,43,Ohio State University,629,14.9,20104,4,19.5
Brian Cardinal,2000,44,Purdue University,456,4.5,6477,9,9.1
Jabari Smith,2000,45,Louisiana State University,108,-0.5,1063,20,4.1
DeeAndre Hulett,2000,46,College of the Sequoias,,,,48,0
Josip Sesar,2000,47,,,,,49,0
Mark Karcher,2000,48,Temple University,,,,50,0
Jason Hart,2000,49,Syracuse University,341,0.3,5289,16,4.9
Kaniel Dickens,2000,50,University of Idaho,19,-0.1,85,51,0
Igor Rakocevic,2000,51,,42,-0.3,244,52,0
Ernest Brown,2000,52,Indian Hills Community College,3,-0.1,21,53,0
Dan McClintock,2000,53,Northern Arizona University,6,-0.1,58,54,0
Cory Hightower,2000,54,Indian Hills Community College,,,,55,0
Chris Porter,2000,55,Auburn University,51,-0.8,1147,24,3.8
Jaquay Walls,2000,56,University of Colorado,,,,56,0
Scoonie Penn,2000,57,Ohio State University,,,,57,0
Pete Mickeal,2000,58,University of Cincinnati,,,,58,0
Kwame Brown,2001,1,,607,-0.4,13389,25,-52.2
Tyson Chandler,2001,2,,986,26.2,28074,5,-10.8
Pau Gasol,2001,3,,1055,51.8,37202,1,24.3
Eddy Curry,2001,4,,527,-5.0,13109,36,-32.3
Jason Richardson,2001,5,Michigan State University,857,24.4,29241,7,-1.8
Shane Battier,2001,6,Duke University,977,37.0,30004,2,10.8
Eddie Griffin,2001,7,Seton Hall University,303,1.7,6729,19,-22.7
DeSagana Diop,2001,8,,601,4.3,8403,18,-19.8
Rodney White,2001,9,University of North Carolina at Charlotte,218,-1.5,3354,35,-21.6
Joe Johnson,2001,10,University of Arkansas,1143,26.2,41186,6,10.5
Kedrick Brown,2001,11,Okaloosa-Walton Community College,143,-0.1,1935,23,-13.6
Vladimir Radmanovic,2001,12,,737,7.7,16164,14,-1.8
Richard Jefferson,2001,13,University of Arizona,1082,20.1,32516,9,11.7
Troy Murphy,2001,14,University of Notre Dame,729,9.5,19921,12,1.8
Steven Hunter,2001,15,DePaul University,400,-1.3,5993,33,-8.5
Kirk Haston,2001,16,Indiana University,27,-0.4,134,37,-10.7
Michael Bradley,2001,17,Villanova University,173,-0.9,2016,29,-6.3
Jason Collins,2001,18,Stanford University,735,0.2,14974,22,-4.1
Zach Randolph,2001,19,Michigan State University,984,13.5,31322,11,11.8
Brendan Haywood,2001,20,University of North Carolina,816,8.4,18680,13,7.4
Joseph Forte,2001,21,University of North Carolina,25,-0.3,125,38,-5.5
Jeryl Sasser,2001,22,Southern Methodist University,82,-0.2,1061,24,-0.4
Brandon Armstrong,2001,23,Pepperdine University,108,-1.2,699,39,-4.9
Raul Lopez,2001,24,,113,-0.8,2135,27,-0.6
Gerald Wallace,2001,25,University of Alabama,832,27.3,24731,4,27.7
Samuel Dalembert,2001,26,Seton Hall University,886,7.2,21646,15,7.8
Jamaal Tinsley,2001,27,Iowa State University,547,5.7,14443,16,6.5
Tony Parker,2001,28,,1080,27.5,34618,3,28.3
Trenton Hassell,2001,29,Austin Peay State University,644,-1.3,16278,34,-0.4
Gilbert Arenas,2001,30,University of Arizona,552,24.1,19351,8,25.2
Omar Cook,2001,31,St. John's University,22,-0.2,213,40,-3.9
Will Solomon,2001,32,Clemson University,115,-1.1,1584,30,0.0
Terence Morris,2001,33,University of Maryland,139,-0.8,1934,28,0.5
Brian Scalabrine,2001,34,University of Southern California,520,-1.1,6772,31,0.2
Jeff Trepagnier,2001,35,University of Southern California,31,-0.2,270,41,-3.5
Damone Brown,2001,36,Syracuse University,39,-0.7,351,42,0.0
Mehmet Okur,2001,37,,634,15.7,18429,10,20.7
Michael Wright,2001,38,University of Arizona,,,,43,0
Earl Watson,2001,39,University of California Los Angeles,878,1.0,19494,20,6.0
Jamison Brewer,2001,40,Auburn University,54,-0.3,468,44,0
Bobby Simmons,2001,41,DePaul University,466,5.4,11513,17,10.4
Eric Chenowith,2001,42,University of Kansas,,,,45,0
Kyle Hill,2001,43,Eastern Illinois University,,,,46,0
Sean Lampley,2001,44,University of California,45,-0.2,550,47,0
Loren Woods,2001,45,University of Arizona,215,-0.6,2428,26,4.4
Ousmane Cisse,2001,46,,,,,48,0
Antonis Fotsis,2001,47,,28,-0.2,320,49,0
Ken Johnson,2001,48,Ohio State University,16,-0.3,156,50,0
Ruben Boumtje-Boumtje,2001,49,Georgetown University,44,-0.2,276,51,0
Alton Ford,2001,50,University of Houston,73,-0.6,524,52,0
Andre Hutson,2001,51,Michigan State University,,,,53,0
Jarron Collins,2001,52,Stanford University,542,0.5,8542,21,5.5
Kenny Satterfield,2001,53,University of Cincinnati,75,-1.1,1062,32,3.9
Maurice Jeffers,2001,54,Saint Louis University,,,,54,0
Robertas Javtokas,2001,55,,,,,55,0
Alvin Jones,2001,56,Georgia Institute of Technology,23,-0.1,126,56,0
Bryan Bracey,2001,57,University of Oregon,,,,57,0
Yao Ming,2002,1,,486,17.0,15818,3,-6.4
Jay Williams,2002,2,Duke University,75,-0.1,1961,18,-22.2
Mike Dunleavy,2002,3,Duke University,933,15.9,26499,7,-1.1
Drew Gooden,2002,4,University of Kansas,790,2.3,20127,13,-14.5
Nikoloz Tskitishvili,2002,5,,172,-2.1,1946,32,-18.7
Dajuan Wagner,2002,6,University of Memphis,103,-2.0,2202,31,-18.1
Nene Hilario,2002,7,,804,23.4,22735,1,7.5
Chris Wilcox,2002,8,University of Maryland,628,1.2,12474,15,-14.7
Amar'e Stoudemire,2002,9,,846,16.8,26254,4,9.6
Caron Butler,2002,10,University of Connecticut,881,15.9,28333,8,10.1
